YT频道,#genre#
KBS NEWS,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV61.m3u8
KANSAI NEWS,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV62.m3u8
东森幼幼歌曲,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV63.m3u8
镜新闻,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV70.m3u8

外语台,#genre#
半岛新闻「英文」,https://live-hls-aje-ak.getaj.net/AJE/01.m3u8?zshijd
半岛新闻「英文」,https://live-hls-web-aje.getaj.net/AJE/02.m3u8?zshijdp
半岛新闻「英文」,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV59.m3u8
半岛新闻「阿拉伯」,http://live-hls-web-aja.getaj.net/AJA/02.m3u8?zshijd
半岛新闻「阿拉伯」,http://live-hls-web-aja.getaj.net/AJA/02.m3u8
美国中文电视,https://jpts.sinovision.net/livestream.m3u8
俄罗斯中文,http://brics.bonus-tv.ru/cdn/brics/chinese/tracks-v1a1/index.m3u8
朝鲜中央台,http://119.77.96.184:1935/chn05/chn05/chunklist_w644291506.m3u8
美国中文电视,https://jpts.sinovision.net
美国Newsmax TV,http://nmxlive.akamaized.net/hls/live/529965/Live_1/index.m3u8
美国mytime 电影频道,https://mytime-tcl.amagi.tv/playlist1080-p.m3u8
美国movie sphere英国频道,https://moviesphereuk-samsunguk.amagi.tv/playlist1080p.m3u8
美国 WCAT 3,https://frontdoor.wcat-tv.org:8787/live/live.m3u8
美国 Trinity Channel,http://rtmp1.abnsat.com
美国 Mystery Science Theater 3000,https://mst3k-localnow.amagi.tv/playlist.m3u8
美国 MST3K,https://mst3k-redbox.amagi.tv/hls/amagi_hls_data_redboxAAA-mst3k/CDN/playlist.m3u8
NHKworld华语-HD（日本）,https://nhkwlive-ojp.akamaized.net/hls/live/2003459/nhkwlive-ojp-en/index_4M.m3u8
NHK World,https://nhkwlive-xjp.akamaized.net/hls/live/2003458/nhkwlive-xjp-en/index_1M.m3u8
NEWS NOW,https://fox-foxnewsnow-samsungus.amagi.tv/playlist720p.m3u8
Discovery Channel 中字：http://198.16.100.90:8278/discoveryhd_twn/playlist.m3u8?tid=MF6F9560989795609897&ct=19254&tsum=5c76a2419ab5b56e7202248db95be60e
Music Top,http://live-edge01.telecentro.net.ar/live/smil:musictop.smil/chunklist_w538311571_b364000_sleng.m3u8
Music Reload TV HD,http://web.onair-radio.eu:1935/video/video/chunklist.m3u8
MSNBC,http://vasilius.akciatv.ru/iptv/RGD5Y7ZWRWP4UK/6470/index.m3u8
FOX,http://content.uplynk.com/channe
l/e56ba52a1b9d45ad8c8a033fd83fe480.m3u8
Fox Soul,https://fox-foxsoul-samsungus.amagi.tv/playlist.m3u8
FOX Soul,http://fox-foxsoul-roku.amagi.tv/playlist.m3u8
FOX live,http://247preview.foxnews.com/hls/live/2020027/fncv3preview/primary.m3u8
FOX live,https://fox-foxnewsnow-samsungus.amagi.tv/playlist720p.m3u8
Cnn-live,https://cnn-cnninternational-1-eu.rakuten.wurl.tv/f93b9a949a4a8651dd5a2f42e3a2b6f9.m3u8
CBS, https://cbsn-us.cbsnstream.cbsnews.com/out/v1/55a8648e8f134e82a470f83d562deeca/master_11.m3u8
NHK[中文字幕], https://bmcc.nhkworld.jp/live/index_1M.m3u8
EDGESport,https://edgesports-sportstribal.amagi.tv/playlist.m3u8
CNAnews-HD（新加坡）,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index.m3u8
BBCWorldNews,http://103.199.161.254/Content/bbcworld/Live/Channel(BBCworld)/index.m3u8
ABC新闻,http://cms-wowza.lunabyte.io/wbrz-live-1/_definst_/smil:wbrz-live.smil/chunklist_b1300000.m3u8
ABCnews-720P,https://abc-iview-mediapackagestreams-2.akamaized.net/out/v1/6e1cc6d25ec0480ea099a5399d73bc4b/index.m3u8
Discovery Channel [可选英语、俄语],http://45.159.74.14:80/DiscoveryChannel/index.m3u8
Discovery Asia 中字,http://198.16.100.90:8278discoverytwn_twn/playlist.m3u8?tid=MB1B4014431840144318&ct=19254&tsum=a72e8caa6986ef92c4d6cb743e22a78f
Discovery Channel 中字,http://198.16.100.90:8278/discoveryhd_twn/playlist.m3u8?
tid=MF6F9560989795609897&ct=19254&tsum=5c76a2419ab5b56e7202248db95be60e

其他,#genre#
动物星球,http://168.119.255.170/400/video.m3u8?token=M4f082ab4c
LoVeNaTuRe,http://168.119.255.170/446/video.m3u8?token=M4f082ab4c
地理野生动物,http://168.119.255.170/403/video.m3u8?token=M4f082ab4c
国家地理,http://168.119.255.170/402/video.m3u8?token=M4f082ab4c
动物星球,http://168.119.255.170/400/video.m3u8?token=M4f082ab4c
